# Version 1.00
#
freq[Hz];re:Trc2_S12;im:Trc2_S12;re:Trc3_S12;im:Trc3_S12;
2.966500000000000E+09;5.419838264739258E-01;3.959052393932392E-01;5.419838264739258E-01;3.959052393932392E-01;
2.978750000000000E+09;5.616880047192775E-01;3.679034272841037E-01;5.616880047192775E-01;3.679034272841037E-01;
2.991000000000000E+09;5.786198658279886E-01;3.388691801355248E-01;5.786198658279886E-01;3.388691801355248E-01;
3.003250000000000E+09;5.935037160578164E-01;3.094332662717785E-01;5.935037160578164E-01;3.094332662717785E-01;
3.015500000000000E+09;6.065850935865864E-01;2.803048429112538E-01;6.065850935865864E-01;2.803048429112538E-01;
3.027750000000000E+09;6.186785013371280E-01;2.509960416678226E-01;6.186785013371280E-01;2.509960416678226E-01;
3.040000000000000E+09;6.301311518297746E-01;2.219115691793092E-01;6.301311518297746E-01;2.219115691793092E-01;
3.052250000000000E+09;6.407458593422705E-01;1.923766976588075E-01;6.407458593422705E-01;1.923766976588075E-01;
3.064500000000000E+09;6.504896327173684E-01;1.609890139218615E-01;6.504896327173684E-01;1.609890139218615E-01;
3.076750000000000E+09;6.591085258459821E-01;1.281706976148860E-01;6.591085258459821E-01;1.281706976148860E-01;
3.089000000000000E+09;6.653548296406889E-01;9.493367399134883E-02;6.653548296406889E-01;9.493367399134883E-02;
